260,26.85
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
-728.586,-7.164,-735.750,5.253,2.291,7.006,670.306,9.455,679.761
-728.506,-7.244,-735.750,21.659,2.750,24.798,668.988,9.994,678.983
-722.512,-13.238,-735.750,10.111,2.613,12.724,732.623,15.851,748.474
-673.571,-62.180,-735.750,10.111,0.882,12.724,574.969,57.753,632.722
-520.319,-215.431,-735.750,10.111,31.180,12.724,461.467,246.611,708.078
-371.867,-363.883,-735.750,10.111,93.150,37.271,315.989,457.033,773.021
0.000,-735.750,-735.750,10.111,41.786,41.786,0.000,777.536,777.536
0.000,-735.750,-735.750,10.111,25.626,25.626,0.000,761.376,761.376
0.000,-735.750,-735.750,10.111,20.342,20.342,0.000,756.092,756.092
0.000,-735.750,-735.750,10.111,13.144,13.144,0.000,706.484,706.484
-18.410,-717.340,-735.750,10.844,18.921,27.257,29.254,586.960,616.214
-17.212,-718.538,-735.750,9.643,11.650,14.978,26.855,546.849,573.704
-29.616,-706.134,-735.750,0.889,11.650,14.978,28.322,635.274,663.596
-66.217,-669.533,-735.750,0.889,11.650,14.978,51.906,447.194,499.100
-379.182,-356.568,-735.750,149.185,2.549,149.080,528.367,356.462,884.830
-443.019,-292.731,-735.750,141.507,55.070,196.577,584.526,347.801,932.327
-367.875,-367.875,-735.750,3.390,90.857,94.247,371.266,458.732,829.997
-367.875,-367.875,-735.750,2.555,90.857,2.193,370.430,367.514,737.943
-367.875,-367.875,-735.750,23.960,5.759,29.719,391.835,373.634,765.469
-367.875,-367.875,-735.750,3.890,5.080,8.970,371.765,372.955,744.720
-367.875,-367.875,-735.750,1.018,0.046,1.064,368.893,367.921,736.814
-367.875,-367.875,-735.750,0.657,0.008,0.601,368.533,367.819,736.351
-367.875,-367.875,-735.750,0.037,0.042,0.028,367.734,367.917,735.651
-367.875,-367.875,-735.750,0.037,0.192,0.028,366.741,368.067,734.808
-367.875,-367.875,-735.750,0.037,0.010,0.028,366.829,367.865,734.694
-367.875,-367.875,-735.750,0.037,0.196,0.028,366.616,368.071,734.687
-367.875,-367.875,-735.750,0.037,0.552,0.028,366.291,368.427,734.718
-289.266,-446.484,-735.750,0.037,0.565,0.028,181.440,432.109,613.549
-117.592,-618.158,-735.750,10.948,0.565,0.028,128.540,599.065,727.605
-35.211,-700.539,-735.750,3.059,106.920,109.979,22.814,509.213,532.027
-82.107,-653.643,-735.750,3.059,106.920,109.979,78.055,570.457,648.512
-311.348,-424.402,-735.750,94.100,106.920,109.979,405.449,325.832,731.281
-556.873,-178.877,-735.750,193.051,106.920,122.174,749.924,108.000,857.924
-735.750,0.000,-735.750,77.098,106.920,77.098,812.848,0.000,812.848
-735.750,0.000,-735.750,96.791,106.920,96.791,710.612,0.000,710.612
-735.750,0.000,-735.750,36.436,106.920,36.436,772.186,0.000,772.186
-728.608,-7.142,-735.750,15.597,2.442,15.597,674.376,9.584,683.960
-728.568,-7.183,-735.750,73.968,2.426,76.394,802.535,9.609,812.144
-722.260,-13.490,-735.750,31.596,1.567,34.096,663.247,15.057,678.305
-673.436,-62.314,-735.750,31.596,1.248,34.096,574.471,57.853,632.324
-520.286,-215.464,-735.750,31.596,42.240,34.096,444.264,257.704,701.967
-372.264,-363.486,-735.750,31.596,74.288,25.397,323.373,437.774,761.147
0.000,-735.750,-735.750,31.596,54.608,54.608,0.000,790.358,790.358
0.000,-735.750,-735.750,31.596,138.623,138.623,0.000,874.373,874.373
0.000,-735.750,-735.750,31.596,42.067,42.067,0.000,729.616,729.616
0.000,-735.750,-735.750,31.596,37.624,37.624,0.000,661.311,661.311
-22.575,-713.175,-735.750,6.186,18.229,32.332,28.761,640.211,668.972
-17.346,-718.404,-735.750,5.943,18.229,32.332,23.289,695.382,718.670
-79.080,-656.670,-735.750,11.640,37.325,40.014,90.720,609.982,700.703
-244.073,-491.677,-735.750,46.208,29.953,76.161,290.280,521.631,811.911
-366.383,-369.368,-735.750,85.474,80.572,166.046,451.856,449.940,901.796
-367.875,-367.875,-735.750,21.525,27.924,21.308,389.400,367.658,757.058
-337.418,-398.333,-735.750,4.697,27.924,4.593,155.180,398.100,553.280
-223.104,-512.646,-735.750,4.697,27.924,4.593,142.422,447.877,590.299
-62.216,-673.534,-735.750,8.976,27.924,6.057,53.963,594.513,648.476
-67.230,-668.520,-735.750,2.828,98.413,101.240,55.991,535.520,591.511
-159.222,-576.528,-735.750,22.850,98.413,101.240,182.072,469.677,651.748
-435.720,-300.030,-735.750,123.912,98.413,69.102,559.632,245.220,804.852
-695.711,-40.039,-735.750,62.424,98.413,57.471,758.135,35.086,793.222
-735.750,0.000,-735.750,67.414,98.413,67.414,803.164,0.000,803.164
-735.750,0.000,-735.750,6.354,98.413,6.354,733.024,0.000,733.024
-582.202,-153.548,-735.750,119.936,82.116,59.613,559.699,235.664,795.364
-452.292,-283.458,-735.750,5.557,90.611,96.168,457.849,374.069,831.918
-367.875,-367.875,-735.750,10.836,25.563,23.194,365.505,393.438,758.944
-367.875,-367.875,-735.750,0.249,1.725,1.974,368.124,369.600,737.724
-367.875,-367.875,-735.750,0.614,0.018,0.632,368.489,367.893,736.382
-367.875,-367.875,-735.750,1.052,0.018,0.693,368.927,367.516,736.443
-367.875,-367.875,-735.750,0.874,0.018,0.838,368.749,367.839,736.588
-367.875,-367.875,-735.750,0.236,0.019,0.210,368.111,367.849,735.960
-367.875,-367.875,-735.750,0.067,0.216,0.008,367.012,368.091,735.103
-367.875,-367.875,-735.750,0.067,0.242,0.008,366.593,368.117,734.710
-367.875,-367.875,-735.750,0.067,0.242,0.008,367.145,367.739,734.884
-367.875,-367.875,-735.750,0.067,0.229,0.008,366.934,368.104,735.038
