264,26.98
Nature 5 - Character Physics\DeformTerrainMaster\gravityForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\gravityForceYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\forceNetExertedByGroundYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceLeftYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceRightYFloat,Nature 5 - Character Physics\DeformTerrainMaster\totalForceYFloat
-23.301,-712.449,-735.750,0.664,-56.179,-55.515,23.965,656.270,680.235
-39.492,-696.258,-735.750,-5.101,-81.790,-86.892,34.390,614.468,648.859
-159.313,-576.437,-735.750,11.457,-129.849,-118.392,170.770,446.588,617.358
-435.337,-300.413,-735.750,129.215,-85.020,44.195,564.552,215.393,779.945
-613.448,-122.302,-735.750,118.536,-26.757,91.779,731.984,95.546,827.529
-735.750,0.000,-735.750,-2.903,0.000,-2.903,732.848,0.000,732.848
-735.750,0.000,-735.750,-8.719,0.000,-8.719,727.031,0.000,727.031
-727.555,-8.195,-735.750,-14.262,1.972,-12.290,713.293,10.168,723.460
-725.662,-10.088,-735.750,-22.078,3.930,-18.148,703.584,14.018,717.602
-722.463,-13.287,-735.750,-36.655,1.920,-34.736,685.807,15.207,701.014
-688.935,-46.815,-735.750,-101.716,-3.920,-105.636,587.219,42.895,630.114
-615.440,-120.310,-735.750,-95.155,-0.688,-95.843,520.285,119.622,639.907
-370.305,-365.445,-735.750,-62.461,62.337,-0.124,307.844,427.782,735.626
-149.730,-586.020,-735.750,-94.055,138.755,44.700,55.675,724.775,780.450
0.000,-735.750,-735.750,0.000,49.053,49.053,0.000,784.804,784.804
0.000,-735.750,-735.750,0.000,-19.402,-19.402,0.000,716.348,716.348
0.000,-735.750,-735.750,0.000,-10.829,-10.829,0.000,724.921,724.921
-22.954,-712.796,-735.750,11.268,-55.115,-43.847,34.222,657.681,691.903
-17.678,-718.072,-735.750,6.038,-44.573,-38.535,23.716,673.499,697.215
-23.299,-712.451,-735.750,0.331,-28.439,-28.108,23.631,684.012,707.643
-66.161,-669.589,-735.750,-7.893,-99.040,-106.933,58.268,570.549,628.817
-159.221,-576.529,-735.750,11.711,-120.663,-108.953,170.932,455.866,626.798
-435.401,-300.350,-735.750,78.725,-52.229,26.497,514.126,248.121,762.247
-641.298,-94.452,-735.750,125.645,-27.256,98.389,766.943,67.197,834.140
-735.750,0.000,-735.750,-2.230,0.000,-2.230,733.520,0.000,733.520
-735.750,0.000,-735.750,-5.067,0.000,-5.067,730.683,0.000,730.683
-735.750,0.000,-735.750,-13.713,0.000,-13.713,722.038,0.000,722.038
-725.650,-10.100,-735.750,-24.378,4.351,-20.027,701.272,14.451,715.723
-728.045,-7.705,-735.750,-23.012,3.479,-19.533,705.033,11.184,716.217
-703.488,-32.262,-735.750,-68.432,-2.083,-70.514,635.056,30.180,665.236
-638.763,-96.988,-735.750,-174.546,-3.877,-178.423,464.217,93.111,557.328
-520.048,-215.702,-735.750,-93.603,31.757,-61.846,426.445,247.459,673.904
-174.215,-561.535,-735.750,-108.359,103.926,-4.433,65.856,665.461,731.317
0.000,-735.750,-735.750,0.000,48.205,48.205,0.000,783.955,783.955
0.000,-735.750,-735.750,0.000,8.422,8.422,0.000,744.172,744.172
0.000,-735.750,-735.750,0.000,-10.660,-10.660,0.000,725.090,725.090
0.000,-735.750,-735.750,0.000,-26.349,-26.349,0.000,709.402,709.402
-16.727,-719.023,-735.750,8.940,-48.372,-39.433,25.667,670.651,696.317
-20.170,-715.580,-735.750,3.107,-43.655,-40.548,23.277,671.925,695.202
-38.821,-696.929,-735.750,-4.976,-71.671,-76.647,33.846,625.258,659.104
-159.268,-576.482,-735.750,11.537,-125.072,-113.535,170.805,451.410,622.215
-435.589,-300.161,-735.750,121.529,-82.490,39.039,557.118,217.671,774.789
-571.809,-163.941,-735.750,96.954,-32.659,64.295,668.763,131.282,800.045
-735.750,0.000,-735.750,-3.155,0.000,-3.155,732.595,0.000,732.595
-735.750,0.000,-735.750,-7.668,0.000,-7.668,728.082,0.000,728.082
-735.750,0.000,-735.750,-8.659,0.000,-8.659,727.092,0.000,727.092
-725.814,-9.936,-735.750,-23.446,4.083,-19.363,702.368,14.019,716.387
-728.071,-7.679,-735.750,-20.156,2.528,-17.628,707.915,10.207,718.122
-703.551,-32.199,-735.750,-70.187,-2.529,-72.716,633.364,29.671,663.034
-616.021,-119.729,-735.750,-126.582,-1.207,-127.789,489.439,118.521,607.961
-520.010,-215.740,-735.750,-143.649,49.369,-94.281,376.361,265.109,641.469
-147.233,-588.517,-735.750,-91.656,91.768,0.112,55.577,680.285,735.862
0.000,-735.750,-735.750,0.000,51.799,51.799,0.000,787.549,787.549
0.000,-735.750,-735.750,0.000,4.189,4.189,0.000,739.939,739.939
0.000,-735.750,-735.750,0.000,-13.577,-13.577,0.000,722.173,722.173
0.000,-735.750,-735.750,0.000,-23.573,-23.573,0.000,712.177,712.177
-18.991,-716.759,-735.750,8.680,-44.486,-35.806,27.671,672.272,699.944
-18.597,-717.153,-735.750,4.505,-41.891,-37.386,23.101,675.263,698.364
-65.060,-670.690,-735.750,-7.183,-91.015,-98.198,57.878,579.674,637.552
-159.314,-576.437,-735.750,11.025,-124.905,-113.880,170.338,451.532,621.870
-435.075,-300.675,-735.750,124.334,-79.224,45.111,559.410,221.451,780.861
-649.703,-86.048,-735.750,135.687,-29.206,106.481,785.390,56.842,842.231
-735.750,0.000,-735.750,-2.179,0.000,-2.179,733.571,0.000,733.571
-735.750,0.000,-735.750,-8.105,0.000,-8.105,727.645,0.000,727.645
-735.750,0.000,-735.750,-15.952,0.000,-15.952,719.798,0.000,719.798
-725.903,-9.847,-735.750,-19.701,3.385,-16.316,706.202,13.232,719.434
-613.263,-122.487,-735.750,-3.602,24.730,21.128,609.661,147.217,756.878
-454.524,-281.227,-735.750,12.283,35.275,47.559,466.807,316.502,783.309
-367.875,-367.875,-735.750,-0.016,-0.089,-0.105,367.859,367.786,735.645
-367.875,-367.875,-735.750,0.227,-0.086,0.141,368.102,367.789,735.891
-367.875,-367.875,-735.750,0.974,-0.211,0.763,368.849,367.664,736.513
-367.875,-367.875,-735.750,1.059,-0.209,0.850,368.934,367.666,736.600
-367.875,-367.875,-735.750,1.112,-0.161,0.951,368.987,367.714,736.701
-367.875,-367.875,-735.750,0.648,-0.042,0.607,368.524,367.834,736.357
-367.875,-367.875,-735.750,-0.427,0.096,-0.331,367.448,367.971,735.419
-367.875,-367.875,-735.750,-1.126,0.197,-0.929,366.750,368.072,734.821
-367.875,-367.875,-735.750,-1.976,-0.062,-2.038,365.899,367.813,733.712
-367.875,-367.875,-735.750,-1.223,0.215,-1.008,366.652,368.090,734.742
-367.875,-367.875,-735.750,-1.256,0.459,-0.797,366.619,368.335,734.953
-367.875,-367.875,-735.750,-0.398,0.249,-0.150,367.477,368.124,735.601
-367.875,-367.875,-735.750,-0.394,0.509,0.116,367.481,368.384,735.866
-367.875,-367.875,-735.750,-0.223,0.334,0.111,367.652,368.210,735.862
-367.875,-367.875,-735.750,-0.306,0.295,-0.011,367.569,368.170,735.739
-367.875,-367.875,-735.750,-0.445,0.176,-0.268,367.430,368.051,735.482
-367.875,-367.875,-735.750,-1.350,0.448,-0.902,366.525,368.323,734.848
